,output_layer
0,inf
1,0.3723891492647023
2,0.3509521102597821
3,0.34189702964104657
4,0.22403831742493832
5,0.2132078841526094
6,0.20173730851518873
7,0.19580317328066632
8,0.18654147152915368
9,0.11923377017036026
10,0.11570354419892953
11,0.10950937843907546
12,0.06692310534955884
13,0.05926255865823877
14,0.0577976754563851
15,0.050397616334961426
16,0.05018961638181785
17,0.04964690539146833
18,0.04643476144281241
19,0.045861875835873936
20,0.04550658554259459
21,0.04427491058698562
22,0.04201837419038841
23,0.03931901872583538
24,0.03929302546289309
25,0.03825326585079065
26,0.036484360663637944
27,0.03557427750691752
28,0.03252081098345324
