,model
0,inf
1,1.285024360492186
2,0.9568085511036136
3,0.9553675867332325
4,0.28926106787012407
5,0.2892601458732077
6,0.28868385311421724
7,0.2886010409486541
8,0.2884690882556423
9,0.2880590501409992
10,0.2762498064202173
11,0.27232410170349247
12,0.26234485203884444
13,0.25758660011089135
14,0.21450914806966945
15,0.19963642749856478
16,0.17433153070635776
17,0.16471511411994802
18,0.16411364755046617
19,0.14507641021741866
20,0.13891557803916435
21,0.1362541270929713
22,0.11942458418165243
23,0.10764601954478284
24,0.09568034445442186
25,0.0744861974534551
26,0.06728206505379708
27,0.06637369987549671
28,0.06552689550400413
29,0.05828233034175228
30,0.03918146244103189
31,0.035927994506742
32,0.034745538248660265
33,0.03401954968901726
34,0.03392272023883776
