,output_layer
0,inf
1,0.4386925409649797
2,0.3676552340069589
3,0.3609766374642118
4,0.3567574790525957
5,0.3502417367026086
6,0.34889846118866835
7,0.3487532036895829
8,0.3486503131399171
9,0.3349475967008029
10,0.29722761815077386
11,0.2970846915862464
12,0.28046475805318977
13,0.2612984582659684
14,0.2523004545050026
15,0.24744951945052598
16,0.24691980019796186
17,0.24471536352986056
18,0.24401823324411567
19,0.23385303434341395
20,0.23214315964494203
21,0.22956474961127157
22,0.22894099620395644
23,0.2275491031392632
24,0.22330417034835237
25,0.2180503428062126
26,0.21519112989557238
27,0.2076743464789781
28,0.20412466914419797
29,0.2012603068282851
30,0.20006069936086396
31,0.19608936441724978
32,0.1959158271134415
33,0.19500039352090207
34,0.18881493041433936
35,0.1851281136337309
36,0.18006438151671114
37,0.1731838807926
38,0.17187941831945394
39,0.16978409535882455
40,0.16974776012437937
41,0.16863686754606916
42,0.16784268168462405
43,0.16581079111839236
44,0.1636648426435694
