,topology
0,inf
1,3517.7092726240844
2,0.3713585583822276
3,0.35694671460861827
4,0.3176744323448227
5,0.3050176130350742
6,0.30345382114949326
7,0.3001034942302838
8,0.2887493081341212
9,0.2866396536985053
10,0.28421729726841
11,0.2840299624440521
12,0.26836144034098103
13,0.2560044280475062
14,0.2460813936908217
15,0.23720268180954496
16,0.22326832477342864
17,0.20857395184914265
18,0.1863696660958509
19,0.18412856696711125
20,0.1752796991329188
21,0.13748773748825197
22,0.12987956032507203
23,0.12353308819724869
24,0.11680668211662562
