,model
0,inf
1,2.7981624704406394
2,2.6811731848476517
3,0.7581742746990239
4,0.7568894395323136
5,0.21353621907525602
6,0.2131908020497262
7,0.11588992596070945
8,0.10927627084461666
9,0.06067539412467863
10,0.05802620776447165
11,0.049751072584099415
12,0.047185145245624095
13,0.04427390940538806
14,0.04296419523017861
15,0.040035879534840745
16,0.039627897440761506
17,0.03944011485830867
18,0.03927172632857325
19,0.03861204688396052
20,0.03715948968029326
21,0.036681067768106694
22,0.03638628353876943
23,0.035653745513454196
24,0.033885608511575176
25,0.03387421597804641
26,0.033717357644663035
27,0.03110635381650832
