,model
0,inf
1,0.4454189352585744
2,0.3550420216408795
3,0.3549116315696124
4,0.3097046477112019
5,0.30234448977805994
6,0.3018484325641883
7,0.30121200809627346
8,0.2893076110416222
9,0.2893036121192875
10,0.2891552924788041
11,0.2880759685570216
12,0.2845356036774853
13,0.284333332469957
14,0.2842290618988284
15,0.26531766035586357
16,0.26505877196189287
17,0.2612335772147966
18,0.2609457331330882
19,0.25583580244828524
20,0.24793082133725214
21,0.24785579073202055
22,0.2456955536727684
23,0.23214315964494203
24,0.22883132323042818
25,0.21519112989557238
26,0.20505329667324224
27,0.1965386719547779
28,0.16974776012437937
