,weights
0,inf
1,0.4984837713736847
2,0.49835708836769244
3,0.4983559121548213
4,0.49774743936852206
5,0.4961242072181144
6,0.48552150110789627
7,0.34405069989561937
8,0.30969868641307086
9,0.30780349716096045
10,0.3078008808373422
11,0.30774175090107747
12,0.307540808439168
13,0.3050810635261446
14,0.28902867091201295
15,0.2883758902090086
16,0.28825199523572914
17,0.28629804105656714
18,0.2859661494985105
19,0.2821721314828807
20,0.279482051196218
21,0.27792325399538287
22,0.27743283644850075
23,0.26934961051178713
24,0.2685590247483074
25,0.2666864818711484
26,0.26306050087369703
27,0.2630320688598131
28,0.26245007619272853
29,0.2516054788814751
30,0.2512857113033574
31,0.24361163840013342
32,0.23255127554215152
33,0.23172833436967377
34,0.2310158637673624
35,0.23032957608768534
36,0.23020796926115222
37,0.23016448027700862
38,0.22841149650480658
39,0.2064002341831132
40,0.20506012002676902
41,0.20480768203347238
42,0.2035759273996823
43,0.2011456450910365
44,0.19923448023301968
45,0.19413009597595415
46,0.19277904675637916
47,0.19186006372734474
48,0.18080159844074933
49,0.1781711240742746
50,0.1773218133410574
51,0.1627159731603957
52,0.16207775203946587
53,0.16201365470478707
54,0.16190473170113992
55,0.1547767345436731
56,0.14737211342700324
57,0.1387781132424776
58,0.13576983056435635
59,0.12994485755494237
60,0.12629194099063942
61,0.12439132004832035
62,0.12050179793771461
63,0.12039559099025013
64,0.12011154022447411
65,0.11296489977329574
66,0.11264122760067523
67,0.10939832682165711
68,0.10854258726809286
69,0.10843152188048664
70,0.10842241150158433
71,0.10808417402142181
72,0.10072854757044468
73,0.09997556633991528
74,0.09860139026557133
75,0.0980948197342169
76,0.0960126417652746
77,0.09212789922373035
78,0.09122959285224788
79,0.09072333673971932
80,0.08913529567730044
81,0.08480132159624632
82,0.08088147467239613
83,0.0787034898525001
84,0.07825656755122659
85,0.07754392701187197
86,0.06766464832151214
87,0.06766197379002926
88,0.06351887487373083
89,0.06330722368448281
90,0.06177855098153182
91,0.06158856211780118
92,0.061390205372125056
93,0.06132087143181982
94,0.06127626760022815
95,0.055288904125558216
96,0.0551735558567802
97,0.05222696778138175
98,0.05097037978185255
99,0.04982424907291641
100,0.04956578972276661
101,0.04901748279618286
102,0.04891737794708059
103,0.04720316043585972
104,0.04709492909826059
105,0.04686713784508495
106,0.046765805550770624
107,0.04656951546860419
108,0.0465335929432182
109,0.04646147323870735
110,0.045463914953582193
111,0.04542253634312114
112,0.04531893083540563
113,0.04531889038977569
114,0.04516847485004208
115,0.044790924213179734
116,0.04439738554481723
117,0.04419439940096082
118,0.04367875398084121
119,0.04343840220025539
120,0.04342858067560947
121,0.04342758430402241
122,0.04287336599404369
123,0.04286877018764027
124,0.04277834763501432
125,0.042646971472981896
126,0.04262333767159076
127,0.04228321909994851
128,0.04131770135660467
129,0.041241912396301914
130,0.04078787436419352
131,0.0407607863120044
132,0.04061816452094206
133,0.04061124305361215
134,0.0398013234635362
