,best_cost
0,0.6003367004696354
1,0.2419001347412086
2,0.2419001347412086
3,0.2419001347412086
4,0.2419001347412086
5,0.20604639186035772
6,0.19593969559480273
7,0.18362355725497032
8,0.18362355725497032
9,0.18362355725497032
10,0.1649816954146988
11,0.1649816954146988
12,0.15239575516433118
13,0.15239575516433118
14,0.12817612395521635
15,0.11942458418165243
16,0.10155502154940606
17,0.10155502154940606
18,0.10155502154940606
19,0.10155502154940606
20,0.10155502154940606
21,0.09568034445442186
22,0.08757797491679385
23,0.0744861974534551
24,0.0744861974534551
25,0.0744861974534551
26,0.0744861974534551
27,0.0744861974534551
28,0.06015826035824926
29,0.05377351954706144
30,0.03791919004191847
31,0.035920047761002306
32,0.0359191870949081
33,0.0359191870949081
34,0.035316905005558466
35,0.035316905005558466
36,0.035316905005558466
37,0.035316905005558466
38,0.035316905005558466
39,0.035316905005558466
40,0.035316905005558466
41,0.035316905005558466
42,0.035316905005558466
43,0.035316905005558466
44,0.035316905005558466
45,0.035316905005558466
46,0.035316905005558466
47,0.035316905005558466
48,0.034745538248660265
49,0.034745538248660265
50,0.034745538248660265
51,0.034745538248660265
52,0.034745538248660265
53,0.034745538248660265
54,0.034745538248660265
55,0.034745538248660265
56,0.034745538248660265
57,0.034745538248660265
58,0.034745538248660265
59,0.034745538248660265
60,0.034745538248660265
61,0.034745538248660265
62,0.034745538248660265
63,0.034745538248660265
64,0.03139144626217071
65,0.03139144626217071
66,0.03139144626217071
67,0.03139144626217071
68,0.03105385076584996
69,0.03105385076584996
70,0.03105385076584996
71,0.03105385076584996
72,0.030821870851481244
73,0.030821870851481244
74,0.030821870851481244
75,0.030821870851481244
76,0.030821870851481244
77,0.030821870851481244
78,0.030821870851481244
79,0.030821870851481244
80,0.030821870851481244
81,0.030821870851481244
82,0.030821870851481244
83,0.030821870851481244
84,0.030821870851481244
85,0.030821870851481244
86,0.030821870851481244
87,0.030821870851481244
88,0.03046210597888687
89,0.03046210597888687
90,0.03046210597888687
91,0.03046210597888687
92,0.03046210597888687
93,0.03046210597888687
94,0.03046210597888687
95,0.03046210597888687
96,0.03046210597888687
97,0.03046210597888687
98,0.03046210597888687
99,0.03046210597888687
