,best_cost
0,0.10651805164557243
1,0.10502888747234095
2,0.10468575020420023
3,0.10468575020420023
4,0.10468575020420023
5,0.10468575020420023
6,0.10449245542026873
7,0.10449245542026873
8,0.1038953746309037
9,0.1038953746309037
10,0.1038953746309037
11,0.1038953746309037
12,0.1038953746309037
13,0.1038953746309037
14,0.1038953746309037
15,0.1038953746309037
16,0.1038953746309037
17,0.1038953746309037
18,0.1038953746309037
19,0.1038953746309037
20,0.1017744747654416
21,0.1008575782695462
22,0.09704706204644829
23,0.09489899579309324
24,0.09277922214422721
25,0.0922339012274779
26,0.08816958428226959
27,0.0849435174374721
28,0.07969592392027863
29,0.0769386439885916
30,0.07509030232886635
31,0.07226979346213205
32,0.07073078504294873
33,0.06956506720637852
34,0.06561727165056648
35,0.06561727165056648
36,0.06186786218038218
37,0.0610018600602313
38,0.0610018600602313
39,0.059838874221838215
40,0.05415684287745718
41,0.05165146630892992
42,0.051215414618378786
43,0.04843662310591287
44,0.047658538163064194
45,0.04569606045172015
46,0.043016669715108403
47,0.043016669715108403
48,0.0368626428499278
49,0.03253393318657105
50,0.023645970559586674
51,0.02281455497912797
52,0.02281455497912797
53,0.02281455497912797
54,0.02256888389170637
55,0.02256888389170637
56,0.02061704810330996
57,0.018300940483525676
58,0.018300940483525676
59,0.018300940483525676
60,0.018300940483525676
61,0.018300940483525676
62,0.0178124441847448
63,0.0178124441847448
64,0.016126302092662727
65,0.014735977731633045
66,0.01453786955524943
67,0.01453786955524943
68,0.013347633131813932
69,0.013347633131813932
70,0.012680346787201008
71,0.012680346787201008
72,0.012680346787201008
73,0.012680346787201008
74,0.012034998289248715
75,0.011196028405837374
76,0.01033643476611381
77,0.01033643476611381
78,0.009956751176386676
79,0.009956751176386676
80,0.009956751176386676
81,0.009956751176386676
82,0.009956751176386676
83,0.009956751176386676
84,0.009956751176386676
85,0.009956751176386676
86,0.009956751176386676
87,0.009956751176386676
88,0.009630295279829991
89,0.009630295279829991
90,0.009630295279829991
91,0.009630295279829991
92,0.009630295279829991
93,0.009630295279829991
94,0.009630295279829991
95,0.009630295279829991
96,0.009630295279829991
97,0.009630295279829991
98,0.009630295279829991
99,0.009630295279829991
