,hidden_layer
0,inf
1,1925.8115345389504
2,577.8798065770638
3,74.08919936445302
4,0.20094015389091816
5,0.13793504084578084
6,0.11187368022550048
7,0.0883654594580165
8,0.08226649969486495
9,0.07872159668333803
10,0.07677545878455831
11,0.07615003149289389
12,0.07468707469738016
13,0.0743857069609647
14,0.07432681644444833
15,0.07396529135908017
16,0.0739036482717414
17,0.07389042068132504
18,0.07386067648927142
19,0.07183046100070978
20,0.06593147733375615
21,0.06277943574184981
22,0.06157727260774603
23,0.060165445642055525
24,0.05846259724060154
25,0.05819160518431054
26,0.050422572509599986
27,0.049585780015394494
28,0.048199543323943925
29,0.0481748558604607
