,model
0,inf
1,0.35555542143075974
2,0.33449377079890974
3,0.32287037135573626
4,0.21197413341894386
5,0.1735452762316679
6,0.11243199386032375
7,0.105028718287821
8,0.10472398398967352
9,0.10472313911241898
10,0.10471710993298837
11,0.10391712538917347
12,0.10390899204430651
13,0.1038953746309037
14,0.10304848664423284
15,0.10300831896257938
16,0.10299854676494805
17,0.10178711528752521
18,0.10176584348536889
19,0.10176287940270973
20,0.09883484009844574
21,0.09882163267597559
22,0.09521362047773395
23,0.09517542830492037
24,0.09450380010815913
25,0.09448118990754992
26,0.09366904852049134
27,0.09363789081401679
28,0.09362143389247106
29,0.0866765131468506
30,0.08665669186277077
31,0.0847801672373302
32,0.07860470594152809
33,0.07856193515040553
34,0.07706098386548893
35,0.07502021132613186
36,0.07501075679419714
37,0.07232711792346747
38,0.072263495858922
39,0.0722432237244825
40,0.07146880658911055
41,0.06948918446851905
42,0.06837876953317384
43,0.06836066113391366
44,0.06636844996402878
45,0.06569377296106658
46,0.06567419119265831
47,0.06564061722994606
48,0.060170729539150994
49,0.059850865001376
50,0.05983227375474654
51,0.05245683103931547
52,0.052394164788240306
53,0.05239177051411741
54,0.04956122974260599
55,0.04944273864314751
56,0.04877914757052566
57,0.047312599853065
58,0.04705890607377336
59,0.045557557881298644
60,0.045500750845064
61,0.04547765496178915
62,0.03560661470051767
63,0.03540373817381638
64,0.03531221946677781
65,0.029947057572474314
66,0.029919452305771015
67,0.029805944115226735
68,0.029771997902570464
69,0.029160667596026424
70,0.02898803869812865
71,0.023646762265653366
72,0.023304563033467198
73,0.023257551832424
74,0.023152103092012825
75,0.018739132106689798
76,0.018482683693713857
77,0.01833297369458008
78,0.018160929789896887
79,0.016763698495460073
80,0.01527488244219939
81,0.015037332904917973
82,0.014425227746268024
83,0.014324514736888703
84,0.013850197441445188
85,0.013476894970102711
86,0.012034998289248715
87,0.011845564656729236
88,0.011334259983314568
89,0.011195574048414732
90,0.010463861582473782
91,0.010062587174971315
92,0.009928851941433909
93,0.009789613900761617
94,0.009763825948203995
95,0.009763492488462564
96,0.009761183621404055
97,0.009751351069547297
98,0.009736210380301933
