,model
0,inf
1,0.8951578188804287
2,0.8945663058450365
3,0.8896994165810868
4,0.14084791995386545
5,0.1406928919894849
6,0.1405341070228796
7,0.12977344871693994
8,0.11680037383236647
9,0.10611484987233633
10,0.09702059124523713
11,0.09697346672449302
12,0.08345972255428764
13,0.0830802819635428
14,0.06780976648266623
15,0.06666315834337327
16,0.06665481498179643
17,0.06662950693026862
18,0.06653268617693366
19,0.0664772512511116
20,0.06632820426756618
21,0.06627856124801483
22,0.06609392718079728
23,0.04594041645481223
24,0.04071479693952513
25,0.04026645674482724
