,model
0,inf
1,0.13214956551776447
2,0.11681201116682324
3,0.11677880880155737
4,0.11676706300268404
5,0.11097583211273315
6,0.11071482115046667
7,0.11071284221468086
8,0.11070880847948639
9,0.11047915674828464
10,0.11047612721145943
11,0.11047449371654067
12,0.11046685546906082
13,0.11000476855248872
14,0.11000216579713083
15,0.11000077149385712
16,0.10998637030647664
17,0.10998525967655234
18,0.10982571678065588
19,0.10980710020023961
20,0.10974881439655516
21,0.10401295107156243
22,0.1040029419466765
23,0.09745509354081942
24,0.09700899971726315
25,0.09478849483628123
26,0.07336797017562915
27,0.07335187402099407
28,0.07292442982121092
29,0.05768243223981453
30,0.05752338398867307
31,0.05740925433200263
32,0.056993280152670064
33,0.043013907788470696
34,0.04187067133655616
35,0.04145329706131339
36,0.04135550494493531
37,0.04113297796352408
38,0.03297551088547255
39,0.0329202194941062
40,0.0325990513310611
41,0.03252557583663867
42,0.03249389613642609
43,0.032220806498733115
44,0.01792691243201739
45,0.016967331425899908
46,0.015251040673012679
47,0.014763470927880542
48,0.013341109619916972
49,0.012765397554414325
50,0.012303904589919574
51,0.012151972018102416
52,0.009733433496925402
53,0.009679422240126315
54,0.009405870628666203
55,0.009378460361391625
56,0.009049582112802114
