,model
0,inf
1,0.346353705339
2,0.303496633861
3,0.303455178442
4,0.29072533328
5,0.290722848689
6,0.29072153825
7,0.290180998569
8,0.290179945909
9,0.29017880152
10,0.2901786341
11,0.290146397165
12,0.29010726057
13,0.290107257984
14,0.290106515455
15,0.289727119201
16,0.289706747395
17,0.28970340338
18,0.289577365594
19,0.289555686907
20,0.28954950743
21,0.289202797192
22,0.289137374714
23,0.289130294387
24,0.289109189419
25,0.289106538003
26,0.288946541228
27,0.288937309599
28,0.288936215068
29,0.288892329825
30,0.288752540315
31,0.288742526613
32,0.288719227321
33,0.288694639288
34,0.288581130325
35,0.288156830605
36,0.287745622047
37,0.28766880586
38,0.287659830515
39,0.287563876416
40,0.287408730142
41,0.287122027172
42,0.287000350265
43,0.286995042915
44,0.286809404753
45,0.286602838209
46,0.284804555308
47,0.284761483997
48,0.284715340997
49,0.284645675049
50,0.284409045331
51,0.284056162313
52,0.283438860688
53,0.283074443567
54,0.281860088473
55,0.279751737478
56,0.278095485565
57,0.277753693938
58,0.277519268951
59,0.275172685395
