,best_cost
0,0.287639622551
1,0.287639622551
2,0.287639622551
3,0.287639622551
4,0.287639622551
5,0.287639622551
6,0.287639622551
7,0.287639622551
8,0.287639622551
9,0.287639622551
10,0.287639622551
11,0.287639622551
12,0.287639622551
13,0.287639622551
14,0.287639622551
15,0.287639622551
16,0.287639622551
17,0.287639622551
18,0.287639622551
19,0.287639622551
20,0.287639622551
21,0.287639622551
22,0.287639622551
23,0.287639622551
24,0.287639622551
25,0.287639622551
26,0.287639622551
27,0.287639622551
28,0.287639622551
29,0.287639622551
30,0.287639622551
31,0.287639622551
32,0.287639622551
33,0.287639622551
34,0.287639622551
35,0.287639622551
36,0.287639622551
37,0.287639622551
38,0.287639622551
39,0.287639622551
40,0.287639622551
41,0.287639622551
42,0.287369561957
43,0.287132592404
44,0.286767706929
45,0.286767706929
46,0.286436600428
47,0.286436600428
48,0.286436600428
49,0.286436600428
50,0.286436600428
51,0.286436600428
52,0.286436600428
53,0.286436600428
54,0.286162131208
55,0.284681024406
56,0.284316119142
57,0.284316119142
58,0.283903976724
59,0.282707453747
60,0.282637455015
61,0.282637455015
62,0.282182505024
63,0.281322257287
64,0.27868838465
65,0.275728931404
66,0.275728931404
67,0.27115564817
68,0.27115564817
69,0.27115564817
70,0.27115564817
71,0.27115564817
72,0.27115564817
73,0.27115564817
74,0.27115564817
75,0.27115564817
76,0.270370615179
77,0.270370615179
78,0.270370615179
79,0.253682020493
80,0.253682020493
81,0.253682020493
82,0.253682020493
83,0.253682020493
84,0.253682020493
85,0.253682020493
86,0.253682020493
87,0.253682020493
88,0.253682020493
89,0.253682020493
90,0.253682020493
91,0.253682020493
92,0.253682020493
93,0.253682020493
94,0.253682020493
95,0.253682020493
96,0.253682020493
97,0.253682020493
98,0.253682020493
99,0.253682020493
