,best_cost
0,0.331285558265
1,0.331285558265
2,0.320389602143
3,0.28725267719
4,0.28725267719
5,0.28725267719
6,0.28725267719
7,0.28725267719
8,0.28725267719
9,0.28674649655
10,0.28459080543
11,0.284212835479
12,0.282776123337
13,0.282776123337
14,0.280589950521
15,0.280589950521
16,0.280589950521
17,0.280589950521
18,0.280589950521
19,0.280589950521
20,0.280589950521
21,0.278607485107
22,0.278436024749
23,0.277969836786
24,0.277969836786
25,0.277969836786
26,0.277969836786
27,0.275714085532
28,0.274843946391
29,0.274843946391
30,0.273662760459
31,0.273464799214
32,0.273464799214
33,0.27097255115
34,0.27097255115
35,0.27097255115
36,0.27097255115
37,0.27097255115
38,0.263051439203
39,0.263051439203
40,0.263051439203
41,0.263051439203
42,0.263051439203
43,0.263051439203
44,0.263051439203
45,0.263051439203
46,0.263051439203
47,0.253831142988
48,0.251731396101
49,0.251463631871
50,0.249406343192
51,0.24708370897
52,0.241510210355
53,0.241510210355
54,0.237736486004
55,0.237736486004
56,0.237736486004
57,0.237736486004
58,0.237736486004
59,0.237736486004
60,0.237736486004
61,0.237736486004
62,0.237736486004
63,0.237736486004
64,0.237736486004
65,0.23662532841
66,0.23327760161
67,0.23327760161
68,0.23327760161
69,0.23327760161
70,0.23327760161
71,0.23327760161
72,0.23327760161
73,0.23327760161
74,0.23327760161
75,0.23327760161
76,0.23327760161
77,0.23327760161
78,0.23327760161
79,0.23327760161
80,0.23327760161
81,0.23327760161
82,0.23327760161
83,0.23327760161
84,0.23327760161
85,0.23327760161
86,0.232585638653
87,0.232585638653
88,0.232585638653
89,0.232585638653
90,0.232585638653
91,0.230305847731
92,0.230305847731
93,0.229744586194
94,0.227807421166
95,0.227807421166
96,0.227807421166
97,0.227807421166
98,0.227807421166
99,0.227807421166
