,model
0,inf
1,0.7628081168212808
2,0.7558522186421495
3,0.7555588245664403
4,0.5004055894937245
5,0.5003934876426548
6,0.5003789178571714
7,0.3765902458975459
8,0.3222795045575736
9,0.31678664486169344
10,0.3167288335789161
11,0.31672883335607754
12,0.3167288328934855
13,0.3165597965086351
14,0.3164737000164255
15,0.3164671866228067
16,0.3156758190856361
17,0.31529883954592924
18,0.3152758005862598
19,0.3147016428884042
20,0.31451449444860136
21,0.314060706927109
22,0.3139708704458281
23,0.3138026384177749
24,0.31361604950168737
25,0.3135180055718163
26,0.3103863020628933
27,0.308108002301357
