,weights
0,inf
1,1.005836021850371
2,1.0057079452978643
3,1.0047893151132106
4,1.0041565312839253
5,1.001711911941626
6,0.9926948423139969
7,0.9885249413420729
8,0.9617331045927767
9,0.42326201357764154
10,0.4018479392148025
11,0.3177958471041298
12,0.3174979483770099
13,0.3174619506829675
14,0.31742222074494836
15,0.31740447762881463
16,0.31737858125581475
17,0.3172328138477349
18,0.3170094349895462
19,0.3170018192723638
20,0.3159140543861528
21,0.3156681641401054
22,0.31557402795010064
23,0.31550320363090306
24,0.31540289595780485
25,0.31509975383660016
26,0.31503748534447484
27,0.3150048464460328
28,0.314958655312122
29,0.3146930098684361
30,0.3141681715264041
31,0.31374440831743267
32,0.3126738340281303
33,0.3122937712410936
34,0.3122008336936902
35,0.31145856162624774
36,0.31080029087162975
37,0.310773591487515
38,0.3107130421810643
39,0.3098654745616801
40,0.3096638926592938
41,0.3094998650498996
42,0.3094090839691225
43,0.3093802362951514
44,0.3092715264569522
45,0.30918262053178247
46,0.30646871223515026
47,0.30634671684007064
48,0.3055170863914049
49,0.3048638012538733
50,0.30466557358316265
51,0.30384913196400515
52,0.30278790574796016
53,0.3021337856016759
54,0.3019446353998832
55,0.30150851936313466
56,0.3013327048294594
57,0.3000616983497007
58,0.29954851604434296
59,0.29861597731548295
60,0.2975618689205471
61,0.2970408210001009
62,0.29642262987359835
63,0.29606534721911865
64,0.29495275882788213
65,0.29437169159772303
66,0.2934639834932003
67,0.29021838726702825
68,0.29005178210623683
69,0.2890464836787859
70,0.287877327771405
71,0.27599161461802246
72,0.2683141384233711
73,0.2662004128594899
74,0.2612102609996302
75,0.2610511297459204
76,0.26027453802431705
77,0.26008301051424815
78,0.25772262866549495
79,0.2568087874800763
80,0.25463353733359817
81,0.25401932001414185
82,0.2538918661647174
83,0.253847244856439
84,0.25323767354960014
85,0.252925988450477
86,0.25255179022927926
87,0.2523506264141335
88,0.2520819658276139
89,0.2514029958720207
90,0.24981324059477056
91,0.24906019229910722
92,0.248696278984952
93,0.24805940224675427
94,0.22420474179932276
95,0.22318959452119314
96,0.22318158647606073
97,0.21905802395498158
98,0.2181079856248733
99,0.21694403019869965
100,0.21675610965967626
101,0.21505928186055182
102,0.2148357532280733
103,0.2143876536003539
104,0.21341624786015
105,0.2113939405133702
106,0.2109069258712531
107,0.210708373364397
108,0.2099666893900074
109,0.2091462259191001
110,0.2087266640033222
111,0.20847002188529454
112,0.2084283144473164
113,0.19525220523421344
114,0.19454749338199007
115,0.19417900787072892
116,0.19355027902088198
117,0.19325989773123398
118,0.19314317630162625
119,0.1929426506722396
120,0.1926267541145448
121,0.19258133302862063
122,0.19174380128291993
123,0.19056332490153408
124,0.1871457666828794
125,0.18584776192656455
126,0.18281416213020893
127,0.18116213734037295
128,0.1782981120729577
129,0.17806963994573896
130,0.17759248802098482
131,0.1758935600898546
132,0.17344319091803456
133,0.1728612128526366
134,0.17163952719416503
135,0.17141592307140474
136,0.16989348503120075
137,0.1690576277488569
138,0.1681333895824821
139,0.16499077952039723
