,topology
0,inf
1,0.6382654694688816
2,0.6263531017654437
3,0.601945713952189
4,0.601578829432372
5,0.3187040580862286
6,0.3172301812721969
7,0.3171814452336609
8,0.3171670360364023
9,0.3171670339566621
10,0.3171626034806645
11,0.3171625979183283
12,0.31716232522480003
13,0.3171620371363413
14,0.31716203711958996
15,0.3171619006723582
16,0.3171618985546575
17,0.31702998065246835
18,0.31702997942523325
19,0.3170299762656605
20,0.31702997519296183
21,0.31702997379026704
22,0.3167827944399513
23,0.31584842644418953
