,best_cost
0,0.3397594442791125
1,0.3397594442791125
2,0.31665806701526783
3,0.31665806701526783
4,0.31567108676057914
5,0.31367584029026124
6,0.3123213166011214
7,0.3117615688130943
8,0.31149268136343156
9,0.31139223717562003
10,0.31127135090963515
11,0.3107821266105956
12,0.3103412384546491
13,0.30372706630419255
14,0.3017351307643151
15,0.30095083183427607
16,0.30043849529088673
17,0.29962354742913416
18,0.2982075287286308
19,0.2974540415847589
20,0.29662368389392224
21,0.29662368389392224
22,0.29662368389392224
23,0.29572120324731554
24,0.29405802351170474
25,0.292195106756598
26,0.29079987921138634
27,0.2899904212703143
28,0.28888707631679494
29,0.28765347349335446
30,0.2859430616376056
31,0.28121646377715576
32,0.28121646377715576
33,0.27509211131252803
34,0.26854199857015676
35,0.2571295966912381
36,0.25402267067569223
37,0.25086747486750754
38,0.23595170393751896
39,0.2299212394217691
40,0.2242762709391121
41,0.21207329351964743
42,0.19943006316005568
43,0.18724922535570407
44,0.17140755387679737
45,0.1644492110310507
46,0.14884093810251672
47,0.14773373315115393
48,0.14654777382516762
49,0.14571779223617556
50,0.1442461049521295
51,0.14210047336713294
52,0.14210047336713294
53,0.1383314863859831
54,0.13721776058419125
55,0.13721776058419125
56,0.1341482145114666
57,0.1335859653503821
58,0.13263101720663376
59,0.13225052073884536
60,0.13149390980652068
61,0.13123555328173053
62,0.13123555328173053
63,0.13123555328173053
64,0.13123555328173053
65,0.13123555328173053
66,0.13123555328173053
67,0.13123555328173053
68,0.13123555328173053
69,0.12763975075202044
70,0.1273633209977203
71,0.12672190426167637
72,0.12672190426167637
73,0.12581194732697462
74,0.12558417985040404
75,0.12521412108562072
76,0.12521412108562072
77,0.12514763098408138
78,0.12408612495167211
79,0.12371290058505263
80,0.12356807000207674
81,0.12356807000207674
82,0.12334569688643748
83,0.12325353675191746
84,0.12325353675191746
85,0.12325353675191746
86,0.12325353675191746
87,0.12241014031858326
88,0.12169061578256182
89,0.12090426301973425
90,0.12090426301973425
91,0.12090426301973425
92,0.12069893226872229
93,0.12066733684488651
94,0.12051543128309793
95,0.11979970762378012
96,0.11979970762378012
97,0.11903224599912574
98,0.11899626979182339
99,0.11899626979182339
