,output_layer
0,inf
1,0.7253426765832306
2,0.40256019638680446
3,0.3971152226612092
4,0.38417094520131817
5,0.3640393693073865
6,0.34261832807941783
7,0.3241980439929575
8,0.32202730848307687
9,0.3202669069771752
10,0.31793442752358325
11,0.316835018714355
12,0.31599013985591395
13,0.31598727375660357
14,0.31594794501194023
15,0.31589562695298085
16,0.3156648992050093
17,0.3155717013583529
18,0.3155675608326954
19,0.3155357058599058
20,0.3155115999169993
21,0.31549528966955004
22,0.31543576079919095
23,0.3154201146830622
24,0.31541193226627146
25,0.3153820525145235
26,0.31533923051800333
27,0.31503858624868175
28,0.3149907811084292
29,0.3148056111396825
30,0.31480284298698136
31,0.31472572659239556
32,0.314444416077127
33,0.31443999665535444
34,0.3144175056203495
35,0.31441461982385505
36,0.31423447200918064
37,0.31417491554388116
38,0.31402218385935576
39,0.3138939788661381
40,0.3137511343138017
41,0.31353608284201334
42,0.3134969564282219
43,0.31324164761083745
44,0.312386465240896
45,0.3116566685579478
46,0.3115001927570217
47,0.31138898097799683
48,0.3111298723898536
49,0.3111071693520494
50,0.3101584935461412
51,0.3098452766283952
52,0.30904913528989275
53,0.3053639693105825
54,0.303165603798019
55,0.3020883824261583
56,0.30116729915514334
57,0.30035244444462766
58,0.3000416563923915
59,0.2999227103751586
60,0.29982197055736154
61,0.29926335375472174
62,0.2972981264011099
63,0.297038200574474
64,0.29613734323816826
65,0.28812973923699153
66,0.286661672982192
67,0.28558401008513207
68,0.2847554389936249
69,0.28269356217626856
70,0.28173547047264447
71,0.27513622537106763
72,0.2720497217923308
73,0.2720271335938078
74,0.2708574166069817
75,0.26693381393316123
