,topology
0,inf
1,0.5457143138878351
2,0.5457141915224006
3,0.5457141889799905
4,0.5457141507063761
5,0.5457141372297033
6,0.3214861525190881
7,0.3213839289473465
8,0.31803594613668595
9,0.31791738903868666
10,0.31790331642215053
11,0.31780891348704854
12,0.3169709798272778
13,0.31674984186156907
14,0.3166439771419766
15,0.3162953428589082
16,0.3162288492879941
17,0.316125594035219
18,0.31603584581000654
19,0.3158032285494009
20,0.31578813456615645
21,0.30549697698320866
22,0.2843047600927101
23,0.2785576221204747
24,0.2759114388209221
25,0.2651126488123059
26,0.2615938061505976
27,0.25979831034719186
28,0.2539685450590503
29,0.24076801510209786
30,0.23703189893896115
31,0.228892920992943
32,0.22721111797222454
33,0.22718191136878585
34,0.22697528852268292
35,0.22693595538077502
36,0.22607703495251466
37,0.22594991987919086
38,0.2257801502607841
39,0.2243449407498212
40,0.2232870270001447
41,0.22321620733309108
42,0.2224499558607486
43,0.22124289423817328
44,0.22034556940358976
45,0.21917374094209421
46,0.21893787205995555
47,0.21818432176960467
48,0.21810565828564493
49,0.21791467517184254
50,0.21777485791426024
51,0.21777114904806327
52,0.21775699251221645
53,0.21774403434232054
54,0.2177350781946732
55,0.21771426344701103
56,0.21769594054811436
57,0.2176945993605263
58,0.21767232631162367
