,output_layer
0,inf
1,0.4904172992185404
2,0.37256704979243666
3,0.3515829502123577
4,0.3257922962965369
5,0.3206153390940526
6,0.320095196501435
7,0.319904039629407
8,0.3187615133859687
9,0.3186107233666134
10,0.31821807988196704
11,0.3181909816116408
12,0.31818678946352746
13,0.3181421759698197
14,0.3181376776213338
15,0.3181130959282178
16,0.3181114268753837
17,0.31811056507757723
18,0.31811015831656847
19,0.31810914942980334
20,0.318077092149603
21,0.3180655749162306
22,0.318065290492801
23,0.3180651306532671
24,0.3180636567789712
25,0.3180635299771282
26,0.3180613173293483
27,0.3180612684950615
28,0.31806071557779825
29,0.3180606109509452
30,0.3180603501652518
31,0.3180603014967007
32,0.31806024036538366
33,0.318059825899403
34,0.31805972869276133
35,0.3180592649231561
36,0.318059149607565
37,0.31805902504094047
38,0.3180587511026258
39,0.3180587051010221
40,0.3180585939184554
41,0.31805857039709595
42,0.318058387941905
43,0.3180578947814684
44,0.31805764342959697
45,0.31805639499281807
46,0.3180559747168643
47,0.31805585951162796
48,0.3173849252483133
49,0.31724592969521376
50,0.3171334840268166
51,0.3166055887224207
52,0.31605409344963287
53,0.31553747094557755
54,0.31542843852013025
55,0.3150814988040053
56,0.31504503247598814
57,0.3145131394297252
58,0.31404840011105184
59,0.3138906722572862
60,0.31388058540799463
61,0.31370425179025513
62,0.31344947934549083
63,0.3130901342965925
64,0.31308938833449873
65,0.31270169693836325
66,0.3126280820211847
67,0.31261943385383806
68,0.31207570134067125
69,0.311283827482809
70,0.30972376692236886
71,0.3084278065717077
72,0.30838221573735
73,0.30787927367019974
74,0.30723899665241866
75,0.30715106929562214
