,hidden_layer
0,inf
1,1.0686647320148779
2,0.6226471237704148
3,0.6221209043964705
4,0.6205128052655323
5,0.6193388197225749
6,0.5955672721085089
7,0.5737555502555682
8,0.45763462649660996
9,0.4159464714159912
10,0.40836171305040675
11,0.3887835036612375
12,0.3202087030500808
13,0.3201706282956013
14,0.3187758117037305
15,0.3186040636132352
16,0.31850866426245905
17,0.316426710688297
18,0.3164050068638579
19,0.31629568673492875
20,0.31611734535106206
21,0.315606660754802
22,0.3155465867739378
23,0.3152710486366558
24,0.315228504401831
25,0.31506228882702453
26,0.31241000988427575
27,0.3116868045390607
28,0.3112892519699571
29,0.3110888095653642
30,0.3099314799390669
31,0.30962390630378656
32,0.309598795709276
33,0.3094691161878743
34,0.309206481178433
35,0.3090214703785742
36,0.3087999821697196
37,0.30496005275277593
38,0.3032600291359668
39,0.30226994772508986
40,0.3017215297871745
41,0.30078319148694677
42,0.2978713978016014
43,0.2973573688311474
44,0.29455594047668127
45,0.294072961492681
46,0.29382157022526934
47,0.2930692151097502
48,0.29021516851120543
49,0.29021134675370946
50,0.28430645281534234
51,0.2787624912984929
52,0.276336966587844
53,0.2756532584441986
54,0.27533004990973714
55,0.27339113259162073
56,0.26763662793407145
57,0.2666052517992529
58,0.26252190692388605
59,0.2617279944951122
60,0.26154176941671275
61,0.25542806322738154
62,0.2532651979396066
63,0.24381186996459783
64,0.2432298559362502
65,0.24305211405463223
66,0.24087929182938805
67,0.23677476943407466
68,0.23549359890338412
69,0.2350598585129145
70,0.2349372869699671
71,0.23493045440357666
72,0.23491624528342545
73,0.23491416852494476
74,0.23279782866765236
75,0.23228262080405335
76,0.21601596033595177
77,0.21591876845144642
78,0.20392755690907818
79,0.20294389046972772
80,0.20082321251823013
81,0.19809631724971383
82,0.19748949549629188
83,0.19198507744257823
84,0.19133173391377414
85,0.18973277281356848
86,0.1893006651468648
87,0.18636371079149264
88,0.1863636988259828
89,0.18550554388317086
90,0.18514198782436855
91,0.18207280425530004
92,0.18207279500664006
93,0.18112670957204513
94,0.18111992911223063
95,0.1810948283349898
96,0.17971213886512843
97,0.17948429842069696
