,best_cost
0,0.4131721162951254
1,0.3230049774803994
2,0.31754611034711977
3,0.31754611034711977
4,0.31754611034711977
5,0.31754611034711977
6,0.31754611034711977
7,0.31722443608598544
8,0.31708013063924684
9,0.3169279208192453
10,0.3169279208192453
11,0.3169279208192453
12,0.3169279208192453
13,0.3169279208192453
14,0.3169279208192453
15,0.3169279208192453
16,0.3169279208192453
17,0.3169279208192453
18,0.3169279208192453
19,0.3169279208192453
20,0.3169279208192453
21,0.3169279208192453
22,0.3169279208192453
23,0.3169279208192453
24,0.3169279208192453
25,0.3166350001430828
26,0.3166350001430828
27,0.3166350001430828
28,0.3166350001430828
29,0.3166350001430828
30,0.3166350001430828
31,0.31649645583688696
32,0.31649645583688696
33,0.31649645583688696
34,0.31649645583688696
35,0.31649645583688696
36,0.31649645583688696
37,0.31649645583688696
38,0.31649645583688696
39,0.3161809047371207
40,0.3161809047371207
41,0.3161809047371207
42,0.3161809047371207
43,0.3161809047371207
44,0.3161809047371207
45,0.3161809047371207
46,0.3161809047371207
47,0.3161809047371207
48,0.3161809047371207
49,0.3161809047371207
50,0.3161809047371207
51,0.3161809047371207
52,0.3161809047371207
53,0.3161809047371207
54,0.3161809047371207
55,0.3159359321218774
56,0.3159359321218774
57,0.3155767514391225
58,0.31541902654829346
59,0.3152877584246127
60,0.3146865268948059
61,0.31396649231393453
62,0.3138759190574251
63,0.3137021654581381
64,0.3134811202329536
65,0.3134811202329536
66,0.31338300444273354
67,0.313226250180682
68,0.3118748833065291
69,0.3118748833065291
70,0.31089199376283894
71,0.3103660448061233
72,0.3073163301379391
73,0.3073163301379391
74,0.3073163301379391
75,0.3073163301379391
76,0.30513881117624864
77,0.30426246298765564
78,0.3030867793000473
79,0.29553009550990444
80,0.28782014644147697
81,0.28782014644147697
82,0.28782014644147697
83,0.28782014644147697
84,0.28782014644147697
85,0.28782014644147697
86,0.28782014644147697
87,0.28782014644147697
88,0.28782014644147697
89,0.2840903261181354
90,0.2840903261181354
91,0.2839496640379018
92,0.2839496640379018
93,0.2728934512597186
94,0.2594233217907358
95,0.2573210281497965
96,0.2454410784985515
97,0.2454410784985515
98,0.2454410784985515
99,0.2454410784985515
