,topology
0,inf
1,0.6855311922950651
2,0.36008386243157586
3,0.36007947772067245
4,0.3195060044829221
5,0.3187059893443784
6,0.31748009442967673
7,0.3172876120168234
8,0.31728376984440837
9,0.3172654715767802
10,0.31690864401457963
11,0.31688012674041494
12,0.3168791283660748
13,0.31687604824838844
14,0.31686908735598546
15,0.3168327040185648
16,0.31604450521242655
17,0.3158113664207738
18,0.3158090823179715
19,0.3157160245245131
20,0.3156401988936507
21,0.3117284540266136
22,0.3112330399689767
23,0.3110424195903265
24,0.31079061295548327
25,0.30907489024533424
26,0.3086099776839731
27,0.3080475300995508
28,0.30669628811860966
29,0.30463454362767023
30,0.3040467225795092
31,0.3037750614855375
32,0.30299674598063225
33,0.3017833751963763
34,0.30111018072489315
35,0.3006513726184511
36,0.2983646369031591
37,0.29822640720723254
38,0.2981417337352954
39,0.297284944486862
40,0.2966049972374572
41,0.28958375818027665
42,0.27699710091219876
43,0.27573893847910963
44,0.2739099022689546
45,0.2711967160821962
46,0.2674773041578605
47,0.2667416810331509
48,0.26508540679963244
49,0.2648150662246585
50,0.2635455076914156
51,0.25471287273417487
52,0.2447640985578585
53,0.24121621141345054
54,0.23797880658877948
55,0.2350598585129145
56,0.2266840579797718
57,0.22482701586590567
58,0.21750698686533645
59,0.21706282028762505
60,0.21056604977026003
61,0.19853647069836938
62,0.1863636988259828
63,0.18372095772708438
64,0.18221324634921668
65,0.1817978307287826
