,model
0,inf
1,0.5457138629713556
2,0.3217410031336399
3,0.321415509729414
4,0.3182278022164181
5,0.31822662072717117
6,0.31773855176769084
7,0.31645854692172254
8,0.31614555585986126
9,0.3160534917474755
10,0.3135551081725323
11,0.30549697698320866
12,0.2843047600927101
13,0.2785576221204747
14,0.2759114388209221
15,0.2651126488123059
16,0.2615938061505976
17,0.25979831034719186
18,0.2453931957531704
19,0.24076801510209786
20,0.23703189893896115
21,0.228892920992943
22,0.22721111797222454
23,0.22718191136878585
24,0.22697528852268292
25,0.22693595538077502
26,0.22607703495251466
27,0.22594991987919086
28,0.2257801502607841
29,0.2243449407498212
30,0.2232870270001447
31,0.22321620733309108
32,0.2224499558607486
33,0.22124289423817328
34,0.22034556940358976
35,0.21917374094209421
36,0.21893787205995555
37,0.21818432176960467
38,0.21810565828564493
39,0.21791467517184254
40,0.21777485791426024
41,0.21777114904806327
42,0.21775699251221645
43,0.21774403434232054
44,0.2177350781946732
45,0.21771426344701103
46,0.21769594054811436
47,0.2176945993605263
48,0.21767232631162367
