,best_cost
0,0.43527439781503363
1,0.31636876970922917
2,0.31258072552230354
3,0.31258072552230354
4,0.31258072552230354
5,0.31210240840417824
6,0.31210240840417824
7,0.30922324680329605
8,0.30274112658479047
9,0.30170018692971523
10,0.2989477479903157
11,0.2989477479903157
12,0.2749309470782547
13,0.26509763277909404
14,0.2486588967833849
15,0.23726538740528216
16,0.23530711827542364
17,0.228223685191606
18,0.22307175361994214
19,0.2204901248675506
20,0.21751349320688676
21,0.21751349320688676
22,0.21606739123912383
23,0.21606739123912383
24,0.21606739123912383
25,0.21606739123912383
26,0.21442827823622995
27,0.21426822160734105
28,0.21426822160734105
29,0.21426822160734105
30,0.2141528049165078
31,0.2141528049165078
32,0.2141528049165078
33,0.2141528049165078
34,0.2141528049165078
35,0.21216341323676677
36,0.21216341323676677
37,0.21139193525481073
38,0.21139193525481073
39,0.21139193525481073
40,0.21093458534734552
41,0.21093458534734552
42,0.2095642623923002
43,0.2091444775301239
44,0.20895696506058886
45,0.20895577091692893
46,0.2087654188534259
47,0.20864114797555763
48,0.20864114797555763
49,0.2083131799754845
50,0.20824089826095799
51,0.20824089826095799
52,0.20824089826095799
53,0.20813123207997225
54,0.20809276136287638
55,0.20809276136287638
56,0.20809276136287638
57,0.20776138668750627
58,0.20757141669139167
59,0.2073420161592143
60,0.2073420161592143
61,0.20731223652012393
62,0.20731223652012393
63,0.20731223652012393
64,0.20731223652012393
65,0.20731223652012393
66,0.20731223652012393
67,0.20720379407848713
68,0.20714412489087652
69,0.20714412489087652
70,0.20714412489087652
71,0.20714412489087652
72,0.20714412489087652
73,0.20714412489087652
74,0.20714412489087652
75,0.20714412489087652
76,0.20714412489087652
77,0.20714412489087652
78,0.20714412489087652
79,0.20714412489087652
80,0.20714412489087652
81,0.207040596204287
82,0.20699728092421804
83,0.20699728092421804
84,0.20699728092421804
85,0.2069941176226628
86,0.2069941176226628
87,0.20697584163230545
88,0.20697584163230545
89,0.20697584163230545
90,0.20697584163230545
91,0.20697584163230545
92,0.20697584163230545
93,0.20697584163230545
94,0.20697584163230545
95,0.20697584163230545
96,0.20697584163230545
97,0.20697584163230545
98,0.20697584163230545
99,0.20697584163230545
