,model
0,inf
1,1.1032014150963683
2,1.1022720197793285
3,0.8372952666442801
4,0.8354811832619109
5,0.32478122993643566
6,0.32466249219404136
7,0.31580367447167146
8,0.31357790074654435
9,0.3133088776209487
10,0.31316335437504966
11,0.28280039018609937
12,0.2812188023643766
13,0.2771265229449407
14,0.2768469709672342
15,0.2735645222250531
16,0.2619996590080742
17,0.25315831732785365
18,0.2473950054352967
19,0.23764624602189857
20,0.23532747426616638
21,0.22942520337141184
22,0.2194950555069753
23,0.21585988384385738
24,0.19789294056170814
25,0.18343663896081822
26,0.18041947999422286
27,0.17944955078344016
28,0.179089663041302
29,0.17870711210639473
30,0.1776987948122213
31,0.1761727984921908
32,0.17613866178409263
33,0.17598121503102526
34,0.1759467189407955
35,0.17592900543584425
36,0.17589122283586825
37,0.17575309629135608
38,0.17571553208842802
39,0.17571552413468808
40,0.1756608155572706
41,0.17554986288309954
42,0.1749302105756268
43,0.1736749401312595
44,0.17233291789309652
45,0.1696786144361935
