,topology
0,inf
1,0.38547311589047134
2,0.35092258372053403
3,0.3187533923605998
4,0.31702680361876534
5,0.316655523352099
6,0.31664868467279594
7,0.31664790534396386
8,0.3166477135130834
9,0.31664548045169816
10,0.3166103591388185
11,0.31658812132204056
12,0.3165352853613102
13,0.31647941098376203
14,0.3164589367821988
15,0.31641346546047255
16,0.30299070936373357
17,0.30186611335089586
18,0.29912407416535824
19,0.29432891108651826
20,0.2878298099837092
21,0.2863950145417185
22,0.28019938337334166
23,0.2609090534341117
24,0.2525049231533135
25,0.25220921986827416
26,0.25101104555957643
27,0.2499908557782488
28,0.24973744530227754
29,0.23965143472465653
30,0.23340649862308915
31,0.23171494086199945
32,0.22472280305798698
33,0.22334759116762892
34,0.22306993040371914
35,0.2223515521339954
36,0.22136372399082738
37,0.2202645372602838
38,0.21584028614419584
39,0.21308995840456738
40,0.21198075470728708
41,0.20918052790116998
42,0.20845062501176337
43,0.20708681804229348
44,0.20618377938736934
45,0.20354850427334545
46,0.20254880848355153
47,0.2010029569532292
48,0.20046071545358704
49,0.20017672305233367
50,0.19979391776696726
51,0.19892254844435475
52,0.19825807455702013
53,0.19764463425766596
54,0.19715780978774597
