,topology
0,inf
1,0.8372952666442801
2,0.32478122993643566
3,0.31557191351425534
4,0.30568574745466076
5,0.30545681269625996
6,0.30483853675068184
7,0.2839108204660147
8,0.2808345147142589
9,0.280642746200187
10,0.2806241348378017
11,0.2806084895510688
12,0.2768469709672342
13,0.2735645222250531
14,0.2619996590080742
15,0.25315831732785365
16,0.2473950054352967
17,0.23764624602189857
18,0.23532747426616638
19,0.22942520337141184
20,0.2194950555069753
21,0.21585988384385738
22,0.19789294056170814
23,0.18343663896081822
24,0.18041947999422286
25,0.17944955078344016
26,0.179089663041302
27,0.17870711210639473
28,0.1776987948122213
29,0.1761727984921908
30,0.17613866178409263
31,0.17598121503102526
32,0.1759467189407955
33,0.17592900543584425
34,0.17589122283586825
35,0.17575309629135608
36,0.17571553208842802
37,0.17571552413468808
38,0.1756608155572706
39,0.17554986288309954
40,0.1749302105756268
41,0.1736749401312595
42,0.17233291789309652
43,0.1696786144361935
