,best_cost
0,0.3851478791423336
1,0.3259532090106472
2,0.31850866426245905
3,0.3162691911345244
4,0.3162691911345244
5,0.3162691911345244
6,0.3162691911345244
7,0.3162691911345244
8,0.3162691911345244
9,0.3162691911345244
10,0.3162691911345244
11,0.3162691911345244
12,0.3162691911345244
13,0.3162691911345244
14,0.3162691911345244
15,0.3162691911345244
16,0.31611734535106206
17,0.315606660754802
18,0.315606660754802
19,0.31241000988427575
20,0.3105073398025202
21,0.3084504398357946
22,0.3024270268000903
23,0.30019394754356804
24,0.30019394754356804
25,0.30019394754356804
26,0.30019394754356804
27,0.30019394754356804
28,0.30019394754356804
29,0.2963875951499911
30,0.29455594047668127
31,0.29455594047668127
32,0.29012282272652573
33,0.29012282272652573
34,0.29012282272652573
35,0.29012282272652573
36,0.29012282272652573
37,0.29012282272652573
38,0.29012282272652573
39,0.28945628636806614
40,0.2889716312954163
41,0.2889716312954163
42,0.2840156062480381
43,0.2750607358136033
44,0.2690922510623408
45,0.2690922510623408
46,0.26763662793407145
47,0.26763662793407145
48,0.26763662793407145
49,0.26763662793407145
50,0.26763662793407145
51,0.264236914366177
52,0.264236914366177
53,0.264236914366177
54,0.264236914366177
55,0.264236914366177
56,0.26028367516354106
57,0.2506167803896433
58,0.24211301084920914
59,0.23677476943407466
60,0.23438469822517113
61,0.23170456305374187
62,0.22836772125177893
63,0.22482701586590567
64,0.22482701586590567
65,0.20392755690907818
66,0.20392755690907818
67,0.20331434895112352
68,0.20331434895112352
69,0.20294389046972772
70,0.20294389046972772
71,0.20294389046972772
72,0.20294389046972772
73,0.20294389046972772
74,0.20294389046972772
75,0.19663731077769903
76,0.19663731077769903
77,0.19663731077769903
78,0.19663731077769903
79,0.19663731077769903
80,0.19663731077769903
81,0.19663731077769903
82,0.19663731077769903
83,0.19663731077769903
84,0.19198507744257823
85,0.18818900883697723
86,0.18818900883697723
87,0.18818900883697723
88,0.18818900883697723
89,0.18254409503216232
90,0.18254409503216232
91,0.18254409503216232
92,0.18254409503216232
93,0.18254409503216232
94,0.18254409503216232
95,0.18254409503216232
96,0.1778256882110619
97,0.1778256882110619
98,0.17673679873108888
99,0.17673679873108888
