,output_layer
0,inf
1,0.5348587822732627
2,0.5333323903677651
3,0.5320956097768406
4,0.31948179393246523
5,0.3173477955554211
6,0.3166549916885287
7,0.3156359601361801
8,0.3134093071372476
9,0.31228574813956916
10,0.2912036614273025
11,0.29114977356082883
12,0.2847755630576648
13,0.2819849430948366
14,0.2817803634764734
15,0.2768469709672342
16,0.27508799012693685
17,0.27430096087178935
18,0.2714915406575035
19,0.27053611365116514
20,0.2687832226352736
21,0.2686375736213012
22,0.26579586848395675
23,0.2633127792032813
24,0.26162900253749993
25,0.25215936783557114
26,0.24831463269588228
27,0.24413812446381583
28,0.24394177623166488
29,0.24001559769193548
30,0.24000436650791981
31,0.23764624602189857
32,0.23532747426616638
33,0.23376617554285348
34,0.23135747818218544
35,0.23074849369072065
36,0.23067327297763313
37,0.22942520337141184
38,0.22709275848499144
39,0.22269884284915442
40,0.22195730422399532
41,0.2194950555069753
42,0.21924083996125993
43,0.21585988384385738
44,0.20669506746509403
45,0.19901612533152144
46,0.19592168481459962
47,0.19589912404687204
48,0.1957572403652407
49,0.1833710890351343
50,0.18317306072539657
51,0.18300536831192357
52,0.18154038872102912
53,0.18049744571199644
54,0.18041947999422286
55,0.18024828546953536
56,0.17995809643892183
57,0.17983815904207195
58,0.17944955078344016
59,0.17933447957381937
60,0.1791582693861115
61,0.17897604953119528
62,0.17882819293021418
63,0.17876197531166785
64,0.17875403879765184
65,0.17870711210639473
66,0.1776987948122213
67,0.1776903429115139
68,0.17765849193007424
69,0.17764524441366858
70,0.17664854852087536
71,0.17644702711229993
72,0.17640129229613455
73,0.17623326400292458
74,0.1762251693632879
75,0.1762140173837664
76,0.1761727984921908
77,0.17613504453454173
78,0.17603143534683768
79,0.1757120219142046
80,0.17547426772601687
81,0.1750235821564253
82,0.17483733742098895
83,0.17342335556718189
84,0.17338624723262394
85,0.17336301857835593
86,0.17233433197525916
87,0.17225739575184182
88,0.17220625893403088
89,0.17219877476081824
90,0.17219795199767476
91,0.17193988248479403
92,0.16968004158436134
93,0.1696781464091865
94,0.16961855546838542
95,0.1696036281450051
96,0.16946713768568836
97,0.16935520475364085
